composition,hardness,load
Al1.5Si1.5N2.5O1.5,15.03,0.98
AlMgB14,33.5,0.98
AlN,12.01,0.98
AlSb,4.0,0.98
AuTiAl,3.58,0.98
B13N2,42.019435,0.98
B6O,45.0,0.98
Be12Nb,4.9,0.98
Be12Ta,7.06,0.98
Be2B,8.73,0.98
Cd2Gd,1.27,0.98
Cd3Gd,2.75,0.98
Cd45Gd11,3.97,0.98
Cd6Gd,2.99,0.98
CdGd,1.47,0.98
Cr0.05W0.95B4,46.45652707,0.98
Cr0.3W0.7B4,39.73289136,0.98
Cr0.5W0.5B4,38.81984845,0.98
Cr11Ge19,8.38,0.98
Cr11Ge8,8.14,0.98
Cr2.4W0.6B4,16.8,0.98
Cr2.55Mo0.45B4,21.5,0.98
Cr2.58Ta0.42B4,22.2,0.98
Cr2.67V0.33B4,21.8,0.98
Cr2.79Nb0.21B4,21.6,0.98
Cr2.91Ti0.09B4,22.1,0.98
Cr2B3,20.69,0.98
Cr3B4,14.71,0.98
Cr5Ge3,7.02,0.98
CrB,27.5,0.98
CrB4,26.1,0.98
CrGe,6.24,0.98
Cu2.5LaNi2.5,6.12,0.98
Cu4Y0.1Yb0.9In,6.32,0.98
Cu4YbIn,5.58,0.98
Cu4YIn,6.9,0.98
Cu5Gd,4.41,0.98
Cu5Nd,3.92,0.98
Cu6Gd,4.81,0.98
CuEu2,1.27,0.98
ErPd2Ge,7.45,0.98
ErRh3B,4.9,0.98
ErRh4B4,11.1,0.98
EuB6,26.09,0.98
Gd2Co17,7.01,0.98
GdCo2,5.88,0.98
GdCo3,6.28,0.98
GdCo5,6.86,0.98
Hf0.04W0.96B4,39.9514797,0.98
Hf0.1W0.9B4,37.3915316,0.98
Hf0.3W0.7B4,38.3895526,0.98
Hf0.5W0.5B4,39.47979877,0.98
Hf2Ge,8.4,0.98
Hf3Ge,9.11,0.98
Hf3Ge2,5.7,0.98
Hf5Ge3,7.72,0.98
HfC,15.0,0.98
HfGe,5.7,0.98
HfGe2,5.8,0.98
HfV16Ge31,7.2,0.98
HfW2,12.4,0.98
HoPd3,3.89,0.98
InBi0.024Sb0.976,4.36,0.98
IrB1.35,37.9,0.98
LaCo0.75Ni3.95Al0.3,7.3,0.98
LaCo2.5Ni2.5,4.78,0.98
Lu2Fe14C,8.05,0.98
LuAl3,4.33,0.98
MgB2,5.2,0.98
Mn0.04W0.96B4,44.24763328,0.98
Mn0.3W0.7B4,39.57648231,0.98
Mn0.5W0.5B4,32.2894868,0.98
Mn5Si3,8.3,0.98
MnSi,11.2,0.98
Mo0.03W0.97B4,45.07874016,0.98
Mo0.1W0.9B4,38.11023622,0.98
Mo0.5W0.5B4,33.0,0.98
Mo0.65Os0.35,14.06,0.98
Mo3.2Pt0.8,13.53,0.98
Mo3Fe3N,20.3,0.98
Mo3Ni2N,20.5,0.98
